slug,slug_number,original_url,final_url,page_title,business_name,business_type,location_info,contact_info,services,specializations,business_description,operating_hours,pricing_info,redirect_info,widget_business_slug,page_structure,meta_data,business_indicators,error_indicators,content_quality,social_media,images_count,load_time,content_length,collected_at,error_type,error_message
NDI0,424,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NDI0,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NDI0?cb=1750567230823,Hydrafacial at Home,Hydrafacial at Home,IV Therapy/Wellness,"['99997', '92666', '56944', '33323', '04762', '99595', '66664', '08724', '24897', '71689']","{'phones': ['2489785640', '2147483647'], 'websites': ['http://www.w3.org/2000/svg', 'https://wsrv.nl/?url=https', 'https://jsd-widget.atlassian.com', 'https://polyfill.io/v3/polyfill.min.js?features=es2017%2Cdefault%2Ces2015%2Ces2016%2CIntl', 'https://jsd-widget.atlassian.com/assets/embed.js']}",['facial'],['HydraFacial Treatments'],,,,Redirects to: https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NDI0?cb=1750567230823,,"{'has_forms': True, 'has_booking': False, 'has_services': False, 'has_pricing': False, 'has_contact': False, 'has_location': False, 'script_count': 6, 'style_count': 10, 'image_count': 2, 'link_count': 1}","{'viewport': 'width=device-width,initial-scale=1,shrink-to-fit=no,maximum-scale=1,user-scalable=no'}",0,2,Medium,,2,5.23,32599,2025-06-22T12:40:38.614766,,
NDI1,425,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NDI1,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NDI1?cb=1750567238836,DRIPBaR Direct - Foxboro,The DRIPBaR Direct - Location,IV Therapy/Wellness,"['92666', '33323', '04762', '99595', '08724', '71689', '82440', '88605', '66138', '92319']","{'phones': ['2147483647'], 'websites': ['http://www.w3.org/2000/svg', 'https://wsrv.nl/?url=https', 'https://jsd-widget.atlassian.com', 'https://polyfill.io/v3/polyfill.min.js?features=es2017%2Cdefault%2Ces2015%2Ces2016%2CIntl', 'https://jsd-widget.atlassian.com/assets/embed.js']}","['wellness', 'health']",['DRIPBaR Franchise'],,,,Redirects to: https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NDI1?cb=1750567238836,,"{'has_forms': True, 'has_booking': False, 'has_services': False, 'has_pricing': False, 'has_contact': False, 'has_location': False, 'script_count': 6, 'style_count': 10, 'image_count': 2, 'link_count': 0}","{'viewport': 'width=device-width,initial-scale=1,shrink-to-fit=no,maximum-scale=1,user-scalable=no'}",2,2,Medium,,2,5.82,36100,2025-06-22T12:40:46.943254,,
NDI2,426,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NDI2,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NDI2?cb=1750567247164,Oh My Olivia,Oh My Olivia,IV Therapy/Wellness,"['92666', '33323', '04762', '99595', '08724', '71689', '82440', '88605', '66138', '92319']","{'phones': ['2147483647'], 'websites': ['http://www.w3.org/2000/svg', 'https://wsrv.nl/?url=https', 'https://jsd-widget.atlassian.com', 'https://polyfill.io/v3/polyfill.min.js?features=es2017%2Cdefault%2Ces2015%2Ces2016%2CIntl', 'https://jsd-widget.atlassian.com/assets/embed.js']}","['medical', 'health']",,,,,Redirects to: https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NDI2?cb=1750567247164,,"{'has_forms': True, 'has_booking': False, 'has_services': False, 'has_pricing': True, 'has_contact': False, 'has_location': False, 'script_count': 6, 'style_count': 10, 'image_count': 2, 'link_count': 0}","{'viewport': 'width=device-width,initial-scale=1,shrink-to-fit=no,maximum-scale=1,user-scalable=no'}",2,2,Medium,,2,6.02,35938,2025-06-22T12:40:54.825415,,
NDIz,423,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NDIz,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NDIz?cb=1750567255046,THE DRIPBaR - Florida,The DRIPBaR Direct - Location,IV Therapy/Wellness,"['92666', '33323', '04762', '99595', '08724', '71689', '82440', '88605', '66138', '92319']","{'phones': ['2147483647'], 'websites': ['http://www.w3.org/2000/svg', 'https://wsrv.nl/?url=https', 'https://jsd-widget.atlassian.com', 'https://polyfill.io/v3/polyfill.min.js?features=es2017%2Cdefault%2Ces2015%2Ces2016%2CIntl', 'https://jsd-widget.atlassian.com/assets/embed.js']}","['wellness', 'weight loss', 'treatment', 'therapy', 'medical', 'health']","['IV Vitamin Therapy', 'DRIPBaR Franchise']",,,,Redirects to: https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NDIz?cb=1750567255046,,"{'has_forms': True, 'has_booking': True, 'has_services': False, 'has_pricing': False, 'has_contact': False, 'has_location': False, 'script_count': 6, 'style_count': 10, 'image_count': 2, 'link_count': 0}","{'viewport': 'width=device-width,initial-scale=1,shrink-to-fit=no,maximum-scale=1,user-scalable=no'}",7,2,Medium,,2,5.8,32085,2025-06-22T12:41:02.249578,,
NDc4,478,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NDc4,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NDc4?cb=1750567262468,DRIPBaR Direct- Hawaii,The DRIPBaR Direct - Location,IV Therapy/Wellness,"['99997', '18088', '56944', '92666', '33323', '04762', '99595', '66664', '08724', '71689']","{'phones': ['2147483647', '1808896495'], 'websites': ['http://www.w3.org/2000/svg', 'https://wsrv.nl/?url=https', 'https://jsd-widget.atlassian.com', 'https://polyfill.io/v3/polyfill.min.js?features=es2017%2Cdefault%2Ces2015%2Ces2016%2CIntl', 'https://jsd-widget.atlassian.com/assets/embed.js']}","['wellness', 'health']",['DRIPBaR Franchise'],,,,Redirects to: https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NDc4?cb=1750567262468,,"{'has_forms': True, 'has_booking': False, 'has_services': False, 'has_pricing': False, 'has_contact': False, 'has_location': False, 'script_count': 6, 'style_count': 10, 'image_count': 2, 'link_count': 1}","{'viewport': 'width=device-width,initial-scale=1,shrink-to-fit=no,maximum-scale=1,user-scalable=no'}",2,2,Medium,,2,5.11,40056,2025-06-22T12:41:10.180888,,
NDc5,479,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NDc5,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NDc5?cb=1750567270400,DRIPBaR Direct - Rye,The DRIPBaR Direct - Location,IV Therapy/Wellness,"['99997', '92666', '56944', '33323', '04762', '99595', '66664', '08724', '71689', '82440']","{'phones': ['2147483647', '9144357500'], 'websites': ['http://www.w3.org/2000/svg', 'https://wsrv.nl/?url=https', 'https://jsd-widget.atlassian.com', 'https://polyfill.io/v3/polyfill.min.js?features=es2017%2Cdefault%2Ces2015%2Ces2016%2CIntl', 'https://jsd-widget.atlassian.com/assets/embed.js']}","['wellness', 'health']",['DRIPBaR Franchise'],,,,Redirects to: https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NDc5?cb=1750567270400,,"{'has_forms': True, 'has_booking': False, 'has_services': False, 'has_pricing': False, 'has_contact': False, 'has_location': False, 'script_count': 6, 'style_count': 10, 'image_count': 2, 'link_count': 1}","{'viewport': 'width=device-width,initial-scale=1,shrink-to-fit=no,maximum-scale=1,user-scalable=no'}",2,2,Medium,,2,5.0,40049,2025-06-22T12:41:17.367376,,
NDg0,484,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NDg0,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/au67z,The DRIPBaR Direct - Virginia Beach (VA),The DRIPBaR Direct - Location,IV Therapy/Wellness,"['92666', '04762', '02364', '99595', '71689', '82440', '88605', '66667', '79031', '11322']","{'phones': ['1750567282', '1132298718', '1674780206', '9175669995', '2147483647'], 'websites': ['http://www.w3.org/2000/svg', 'https://jsd-widget.atlassian.com', 'https://wsrv.nl/?url=https', 'https://polyfill.io/v3/polyfill.min.js?features=es2017%2Cdefault%2Ces2015%2Ces2016%2CIntl', 'https://td.doubleclick.net/td/rul/16747802060?random=1750567282128&amp']}","['weight loss', 'semaglutide', 'tirzepatide', 'injection', 'therapy']","['GLP-1 Weight Loss', 'DRIPBaR Franchise']",,,"['$170.00', '$275.00', '$225.00', '$400.00', '$250.00', '$220.00', '$180.00', '$160.00', '$120.00', '$100.00']",Redirects to widget-business: au67z,au67z,"{'has_forms': True, 'has_booking': True, 'has_services': True, 'has_pricing': True, 'has_contact': False, 'has_location': False, 'script_count': 14, 'style_count': 10, 'image_count': 62, 'link_count': 1}","{'viewport': 'width=device-width,initial-scale=1,shrink-to-fit=no,maximum-scale=1,user-scalable=no'}",3,3,Medium,,62,6.07,54110,2025-06-22T12:41:26.158505,,
NDg1,485,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NDg1,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/au67z,The DRIPBaR Direct - Virginia Beach (VA),The DRIPBaR Direct - Location,IV Therapy/Wellness,"['92666', '04762', '02364', '99595', '71689', '82440', '88605', '66667', '79031', 'Loading CS']","{'phones': ['1674780206', '9175669995', '2147483647', '829240-1315', '665367.1750'], 'websites': ['http://www.w3.org/2000/svg', 'https://wsrv.nl/?url=https', 'https://jsd-widget.atlassian.com', 'https://polyfill.io/v3/polyfill.min.js?features=es2017%2Cdefault%2Ces2015%2Ces2016%2CIntl', 'https://td.doubleclick.net/td/rul/16747802060?random=1750567290263&amp']}","['weight loss', 'semaglutide', 'tirzepatide', 'injection', 'therapy']","['GLP-1 Weight Loss', 'DRIPBaR Franchise']",,,"['$170.00', '$275.00', '$225.00', '$400.00', '$250.00', '$220.00', '$180.00', '$160.00', '$120.00', '$100.00']",Redirects to widget-business: au67z,au67z,"{'has_forms': True, 'has_booking': True, 'has_services': True, 'has_pricing': True, 'has_contact': False, 'has_location': False, 'script_count': 14, 'style_count': 10, 'image_count': 62, 'link_count': 1}","{'viewport': 'width=device-width,initial-scale=1,shrink-to-fit=no,maximum-scale=1,user-scalable=no'}",3,3,Medium,,62,7.96,54362,2025-06-22T12:41:36.900058,,
NDg2,486,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NDg2,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NDg2?cb=1750567297124,Dripbar Direct - Lee's Summit,The DRIPBaR Direct - Location,IV Therapy/Wellness,"['92666', '33323', '04762', '99595', '08724', '71689', '82440', '88605', '66138', '92319']","{'phones': ['2147483647'], 'websites': ['http://www.w3.org/2000/svg', 'https://wsrv.nl/?url=https', 'https://jsd-widget.atlassian.com', 'https://polyfill.io/v3/polyfill.min.js?features=es2017%2Cdefault%2Ces2015%2Ces2016%2CIntl', 'https://jsd-widget.atlassian.com/assets/embed.js']}","['wellness', 'health']",['DRIPBaR Franchise'],,,,Redirects to: https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NDg2?cb=1750567297124,,"{'has_forms': True, 'has_booking': False, 'has_services': False, 'has_pricing': False, 'has_contact': False, 'has_location': False, 'script_count': 6, 'style_count': 10, 'image_count': 2, 'link_count': 0}","{'viewport': 'width=device-width,initial-scale=1,shrink-to-fit=no,maximum-scale=1,user-scalable=no'}",2,2,Medium,,2,4.87,37478,2025-06-22T12:41:43.115957,,
NDg3,487,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NDg3,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NDg3?cb=1750567303334,Dripbar Direct - Richmond,The DRIPBaR Direct - Location,IV Therapy/Wellness,"['99997', '92666', '56944', '33323', '04762', '99595', '66664', '08724', '71689', '6988 Forest Ave']","{'phones': ['8044244017', '2147483647'], 'websites': ['http://www.w3.org/2000/svg', 'https://wsrv.nl/?url=https', 'https://jsd-widget.atlassian.com', 'https://polyfill.io/v3/polyfill.min.js?features=es2017%2Cdefault%2Ces2015%2Ces2016%2CIntl', 'https://jsd-widget.atlassian.com/assets/embed.js']}","['wellness', 'health']",['DRIPBaR Franchise'],,,,Redirects to: https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NDg3?cb=1750567303334,,"{'has_forms': True, 'has_booking': False, 'has_services': False, 'has_pricing': False, 'has_contact': False, 'has_location': False, 'script_count': 6, 'style_count': 10, 'image_count': 2, 'link_count': 1}","{'viewport': 'width=device-width,initial-scale=1,shrink-to-fit=no,maximum-scale=1,user-scalable=no'}",2,2,Medium,,2,4.72,40049,2025-06-22T12:41:49.394231,,
NDg4,488,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NDg4,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NDg4?cb=1750567309616,Dripbar Direct - San Angelo,The DRIPBaR Direct - Location,IV Therapy/Wellness,"['92666', '33323', '04762', '99595', '08724', '71689', '82440', '88605', '66138', '92319']","{'phones': ['2147483647'], 'websites': ['http://www.w3.org/2000/svg', 'https://wsrv.nl/?url=https', 'https://jsd-widget.atlassian.com', 'https://polyfill.io/v3/polyfill.min.js?features=es2017%2Cdefault%2Ces2015%2Ces2016%2CIntl', 'https://jsd-widget.atlassian.com/assets/embed.js']}","['wellness', 'health']",['DRIPBaR Franchise'],,,,Redirects to: https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NDg4?cb=1750567309616,,"{'has_forms': True, 'has_booking': False, 'has_services': False, 'has_pricing': False, 'has_contact': False, 'has_location': False, 'script_count': 6, 'style_count': 10, 'image_count': 2, 'link_count': 0}","{'viewport': 'width=device-width,initial-scale=1,shrink-to-fit=no,maximum-scale=1,user-scalable=no'}",2,2,Medium,,2,5.07,37469,2025-06-22T12:41:57.212972,,
NDg5,489,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NDg5,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NDg5?cb=1750567317433,Dripbar Direct - Statesboro,The DRIPBaR Direct - Location,IV Therapy/Wellness,"['92666', '33323', '04762', '99595', '08724', '71689', '82440', '88605', '66138', '92319']","{'phones': ['2147483647'], 'websites': ['http://www.w3.org/2000/svg', 'https://wsrv.nl/?url=https', 'https://jsd-widget.atlassian.com', 'https://polyfill.io/v3/polyfill.min.js?features=es2017%2Cdefault%2Ces2015%2Ces2016%2CIntl', 'https://jsd-widget.atlassian.com/assets/embed.js']}","['wellness', 'health']",['DRIPBaR Franchise'],,,,Redirects to: https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NDg5?cb=1750567317433,,"{'has_forms': True, 'has_booking': False, 'has_services': False, 'has_pricing': False, 'has_contact': False, 'has_location': False, 'script_count': 6, 'style_count': 10, 'image_count': 2, 'link_count': 0}","{'viewport': 'width=device-width,initial-scale=1,shrink-to-fit=no,maximum-scale=1,user-scalable=no'}",2,2,Medium,,2,4.63,37471,2025-06-22T12:42:04.195165,,
NDgw,480,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NDgw,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NDgw?cb=1750567324413,DRIPBaR Direct - Clifton Park,The DRIPBaR Direct - Location,IV Therapy/Wellness,"['99997', '92666', '56944', '33323', '04762', '99595', '66664', '08724', '71689', '82440']","{'phones': ['2147483647', '5185571233'], 'websites': ['http://www.w3.org/2000/svg', 'https://wsrv.nl/?url=https', 'https://jsd-widget.atlassian.com', 'https://polyfill.io/v3/polyfill.min.js?features=es2017%2Cdefault%2Ces2015%2Ces2016%2CIntl', 'https://jsd-widget.atlassian.com/assets/embed.js']}","['wellness', 'health']",['DRIPBaR Franchise'],,,,Redirects to: https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NDgw?cb=1750567324413,,"{'has_forms': True, 'has_booking': False, 'has_services': False, 'has_pricing': False, 'has_contact': False, 'has_location': False, 'script_count': 6, 'style_count': 10, 'image_count': 2, 'link_count': 1}","{'viewport': 'width=device-width,initial-scale=1,shrink-to-fit=no,maximum-scale=1,user-scalable=no'}",2,2,Medium,,2,5.19,40134,2025-06-22T12:42:12.154732,,
NDgx,481,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NDgx,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NDgx?cb=1750567332376,Dripbar Direct - Andover,The DRIPBaR Direct - Location,IV Therapy/Wellness,"['92666', '33323', '04762', '99595', '08724', '71689', '82440', '88605', '66138', '92319']","{'phones': ['2147483647'], 'websites': ['http://www.w3.org/2000/svg', 'https://wsrv.nl/?url=https', 'https://jsd-widget.atlassian.com', 'https://polyfill.io/v3/polyfill.min.js?features=es2017%2Cdefault%2Ces2015%2Ces2016%2CIntl', 'https://jsd-widget.atlassian.com/assets/embed.js']}","['wellness', 'health']",['DRIPBaR Franchise'],,,,Redirects to: https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NDgx?cb=1750567332376,,"{'has_forms': True, 'has_booking': False, 'has_services': False, 'has_pricing': False, 'has_contact': False, 'has_location': False, 'script_count': 6, 'style_count': 10, 'image_count': 2, 'link_count': 0}","{'viewport': 'width=device-width,initial-scale=1,shrink-to-fit=no,maximum-scale=1,user-scalable=no'}",2,2,Medium,,2,5.73,37468,2025-06-22T12:42:20.886990,,
